Quantity,Successful runs,Failed runs,Dominant failure mode
Employment participation elasticity of single mothers,11,4,LiteLLM response contained no structured tool call
Income elasticity of labor supply,11,4,LiteLLM response contained no structured tool call
"Primary-earner substitution elasticity in a tax-benefit simulation, decile 5",11,4,LiteLLM response contained no structured tool call
"Primary-earner substitution elasticity in a tax-benefit simulation, decile 3",12,3,LiteLLM response contained no structured tool call
Uncompensated wage elasticity of labor supply,12,3,LiteLLM response contained no structured tool call
Income elasticity of labor supply in a tax-benefit simulation (legacy),13,2,LiteLLM response contained no structured tool call
"Primary-earner substitution elasticity in a tax-benefit simulation, decile 1",13,2,LiteLLM response contained no structured tool call
"Primary-earner substitution elasticity in a tax-benefit simulation, decile 6",13,2,LiteLLM response contained no structured tool call
"Primary-earner substitution elasticity in a tax-benefit simulation, decile 7",13,2,LiteLLM response contained no structured tool call
"Primary-earner substitution elasticity in a tax-benefit simulation, decile 8",13,2,LiteLLM response contained no structured tool call
"Primary-earner substitution elasticity in a tax-benefit simulation, decile 9",13,2,LiteLLM response contained no structured tool call
Secondary-earner substitution elasticity in a tax-benefit simulation,13,2,LiteLLM response contained no structured tool call
Frisch elasticity of labor supply,14,1,LiteLLM response contained no structured tool call
Intertemporal elasticity of substitution,14,1,LiteLLM response contained no structured tool call
"Primary-earner substitution elasticity in a tax-benefit simulation, decile 10",14,1,LiteLLM response contained no structured tool call
"Primary-earner substitution elasticity in a tax-benefit simulation, decile 2",14,1,LiteLLM response contained no structured tool call
"Primary-earner substitution elasticity in a tax-benefit simulation, decile 4",14,1,LiteLLM response contained no structured tool call
Substitution elasticity of labor supply in a tax-benefit simulation,14,1,LiteLLM response contained no structured tool call
