Subpanel,Omitted organization,Spearman rho,"Top retained model, full panel","Top retained model, leave-out",Max avg-rank shift
Labor/tax,Alibaba,0.999,Claude Sonnet 4.6,Claude Sonnet 4.6,1.833
Labor/tax,Anthropic,0.994,Grok 4.20,Grok 4.20,6.167
Labor/tax,DeepSeek,0.999,Claude Sonnet 4.6,Claude Sonnet 4.6,0.833
Labor/tax,Google,0.995,Claude Sonnet 4.6,Claude Sonnet 4.6,3.167
Labor/tax,MiniMax,1.0,Claude Sonnet 4.6,Claude Sonnet 4.6,0.833
Labor/tax,Moonshot AI,0.999,Claude Sonnet 4.6,Claude Sonnet 4.6,2.0
Labor/tax,OpenAI,0.997,Claude Sonnet 4.6,Claude Sonnet 4.6,5.667
Labor/tax,Thinking Machines,0.999,Claude Sonnet 4.6,Claude Sonnet 4.6,1.0
Labor/tax,Zhipu AI,1.0,Claude Sonnet 4.6,Claude Sonnet 4.6,0.833
Labor/tax,xAI,0.998,Claude Sonnet 4.6,Claude Sonnet 4.6,3.5
Macro/trade,Alibaba,1.0,Grok 4.3,Grok 4.3,0.667
Macro/trade,Anthropic,0.998,Grok 4.3,Grok 4.3,5.333
Macro/trade,DeepSeek,1.0,Grok 4.3,Grok 4.3,1.0
Macro/trade,Google,0.998,Grok 4.3,Grok 4.3,4.667
Macro/trade,MiniMax,1.0,Grok 4.3,Grok 4.3,0.667
Macro/trade,Moonshot AI,1.0,Grok 4.3,Grok 4.3,1.667
Macro/trade,OpenAI,0.995,Grok 4.3,Grok 4.20,7.0
Macro/trade,Thinking Machines,1.0,Grok 4.3,Grok 4.3,1.0
Macro/trade,Zhipu AI,1.0,Grok 4.3,Grok 4.3,1.0
Macro/trade,xAI,0.999,GPT-5.6 Luna,GPT-5.4 nano,3.667
