Predictor,Outcome,Models,Spearman rho,Raw permutation p,Holm-adjusted p,BH-adjusted p,Family size,Derived
Tax within-$1 (domain-matched),"Mean |center|, labor-and-tax",28,0.085,0.665,1.000,0.760,8,no
Tax within-$1 (domain-matched),"Mean |center|, macro-and-trade",28,0.236,0.227,1.000,0.453,8,no
Tax within-$1 (domain-matched),Avg interval-width rank (1 = tightest),28,-0.274,0.158,0.949,0.422,8,no
Tax within-$1 (domain-matched),ETI pooled median,28,-0.420,0.026,0.189,0.105,8,no
Tax within-$1 (domain-matched),"Implied optimal top rate (%) — derived, monotone transform of ETI — not an additional test",28,0.420,0.026,0.189,0.105,8,yes
Overall within-$1 (leaderboard headline),"Mean |center|, labor-and-tax",28,0.021,0.915,1.000,0.915,8,no
Overall within-$1 (leaderboard headline),"Mean |center|, macro-and-trade",28,0.115,0.555,1.000,0.739,8,no
Overall within-$1 (leaderboard headline),Avg interval-width rank (1 = tightest),28,-0.180,0.357,1.000,0.571,8,no
Overall within-$1 (leaderboard headline),ETI pooled median,28,-0.427,0.024,0.189,0.105,8,no
Overall within-$1 (leaderboard headline),"Implied optimal top rate (%) — derived, monotone transform of ETI — not an additional test",28,0.427,0.024,0.189,0.105,8,yes
