Model,Avg pooled rank,Avg REML rank,Avg Bayes rank,Max rank spread
Claude Fable 5,6.85,7.73,7.0,0.88
Gemini 3.6 Flash,7.46,10.23,9.12,2.77
Claude Haiku 4.5,9.31,8.38,8.23,1.08
Claude Opus 4.7,9.46,13.15,11.77,3.69
Claude Sonnet 5,9.77,12.15,11.46,2.38
Claude Opus 4.8,11.04,14.42,13.77,3.38
Gemini 3.1 Pro,11.19,9.85,10.15,1.35
Inkling,12.69,11.0,12.15,1.69
Gemini 3 Flash,12.92,13.0,12.0,1.0
Claude Opus 5,13.0,14.15,13.08,1.15
Gemini 3.5 Flash,13.31,15.69,17.15,3.85
Claude Sonnet 4.6,13.77,18.31,17.23,4.54
GPT-5.6 Terra,13.85,14.46,15.38,1.54
Gemini 3.1 Flash-Lite,13.92,14.12,13.69,0.42
GPT-5.5,15.08,17.77,16.77,2.69
GPT-5.4,15.31,18.38,17.38,3.08
GPT-5.6 Sol,17.38,19.46,19.0,2.08
Grok 4.3,18.69,18.19,17.69,1.0
GPT-5.4 nano,18.77,16.23,18.15,2.54
Kimi K3,18.77,18.31,18.69,0.46
MiniMax M3,18.77,14.31,17.38,4.46
Grok 4.5,18.85,19.46,18.04,1.42
Grok 4.1 Fast,19.19,17.92,17.5,1.69
Qwen 3.8 Max,19.38,18.19,18.46,1.19
Qwen 3.7 Max,20.31,18.42,18.81,1.88
DeepSeek V4 Pro,20.38,16.23,18.31,4.15
GLM-5.2,20.85,17.0,18.5,3.85
Kimi K2.6,22.69,19.31,20.08,3.38
GPT-5.4 mini,23.12,21.31,21.27,1.85
Grok 4.20,23.77,23.0,22.23,1.54
GPT-5.6 Luna,26.15,25.85,25.54,0.62
