Model,Median center MC SE,Median relative width MC SE,Avg width rank (mean),Avg width rank 90% interval
Claude Fable 5,0.0031,3%,6.99,"[6.15, 7.62]"
Gemini 3.6 Flash,0.0058,2%,7.15,"[6.46, 7.85]"
Claude Haiku 4.5,0.005,5%,8.68,"[7.84, 9.39]"
Claude Opus 4.7,0.0,2%,9.44,"[8.46, 10.23]"
Claude Sonnet 5,0.0025,2%,9.62,"[9.00, 10.31]"
Gemini 3.1 Pro,0.0064,2%,10.2,"[9.46, 10.77]"
Claude Opus 4.8,0.0,1%,10.78,"[10.08, 11.31]"
Gemini 3 Flash,0.0,1%,12.31,"[11.53, 12.93]"
Gemini 3.5 Flash,0.0104,3%,12.57,"[11.92, 13.15]"
GPT-5.6 Terra,0.0037,3%,12.86,"[11.92, 13.77]"
Claude Opus 5,0.0078,3%,12.87,"[12.15, 13.62]"
Gemini 3.1 Flash-Lite,0.006,5%,13.01,"[12.00, 13.85]"
Claude Sonnet 4.6,0.0,1%,13.32,"[12.53, 14.15]"
GPT-5.5,0.0047,2%,14.43,"[13.92, 14.93]"
GPT-5.4,0.0,3%,14.44,"[13.69, 15.16]"
GPT-5.6 Sol,0.0081,3%,16.41,"[15.61, 17.00]"
MiniMax M3,0.0171,9%,16.99,"[15.38, 18.31]"
GPT-5.4 nano,0.0249,6%,17.62,"[16.77, 18.23]"
Kimi K3,0.0086,3%,17.63,"[16.77, 18.38]"
Grok 4.1 Fast,0.0,2%,17.66,"[16.15, 18.85]"
Grok 4.5,0.0089,3%,17.73,"[16.84, 18.54]"
Grok 4.3,0.012,5%,18.05,"[17.08, 18.93]"
Qwen 3.7 Max,0.0125,8%,18.2,"[16.30, 19.69]"
DeepSeek V4 Pro,0.0142,7%,18.44,"[17.23, 19.54]"
GLM-5.2,0.0166,7%,18.58,"[17.23, 19.85]"
Kimi K2.6,0.0281,6%,20.35,"[18.77, 21.54]"
GPT-5.4 mini,0.0085,4%,21.64,"[20.69, 22.38]"
Grok 4.20,0.0107,3%,22.58,"[21.85, 23.31]"
GPT-5.6 Luna,0.0135,4%,24.48,"[23.69, 25.16]"
