Model,ETI median,"Baseline top rate (a=1.470, gamma=1)","Top rate (a=1.3, gamma=1)","Top rate (a=1.5, gamma=1)","Top rate (a=1.7, gamma=1)","Top rate (a=1.470, gamma=2)"
Gemini 3.1 Pro,0.346,44.3,49.1,43.5,38.6,53.1
Gemini 3.1 Flash-Lite,0.389,41.5,46.2,40.7,35.9,50.2
Claude Opus 4.7,0.4,40.8,45.5,40.0,35.3,49.5
Gemini 3 Flash,0.4,40.8,45.5,40.0,35.3,49.5
Grok 4.1 Fast,0.4,40.8,45.5,40.0,35.3,49.5
GPT-5.4,0.42,39.6,44.3,38.8,34.2,48.3
GPT-5.4 mini,0.437,38.7,43.4,37.9,33.3,47.3
Grok 4.20,0.497,35.6,40.2,34.9,30.5,44.1
Claude Sonnet 4.6,0.5,35.5,40.1,34.8,30.3,44.0
Claude Haiku 4.5,0.502,35.4,40.0,34.7,30.3,43.8
GPT-5.4 nano,0.546,33.5,38.0,32.8,28.5,41.8
