provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,claude-sonnet-4.6,household.relative_risk_aversion.crra,1,v4,none,1,chatcmpl-cd644654-85a3-4989-ba11-a01755a44796,1183,436,1619,0,0,,,,,0.010089,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 436, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 436}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010089, ""prompt_tokens"": 1183, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1619}"
litellm_completion,claude-sonnet-4.6,household.relative_risk_aversion.crra,2,v4,none,1,chatcmpl-ae5cee79-6702-47c2-9b51-9123a309650c,1183,434,1617,0,0,,,,,0.010059,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 434, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 434}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010059, ""prompt_tokens"": 1183, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1617}"
litellm_completion,claude-sonnet-4.6,household.relative_risk_aversion.crra,3,v4,none,1,chatcmpl-7d426ea4-498b-4d28-93a3-1d35f3c0da7e,1183,443,1626,0,0,,,,,0.010194,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 443, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 443}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010194, ""prompt_tokens"": 1183, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1626}"
litellm_completion,claude-sonnet-4.6,household.relative_risk_aversion.crra,4,v4,none,1,chatcmpl-b719f0ce-f020-42b3-a14f-8ecb024e4851,1183,446,1629,0,0,,,,,0.010239,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 446, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 446}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010239, ""prompt_tokens"": 1183, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1629}"
litellm_completion,claude-sonnet-4.6,household.relative_risk_aversion.crra,5,v4,none,1,chatcmpl-cdd60655-7fe7-4dc0-81d4-5092b55dc047,1183,440,1623,0,0,,,,,0.010149,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 440, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 440}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010149, ""prompt_tokens"": 1183, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1623}"
litellm_completion,claude-sonnet-4.6,household.relative_risk_aversion.crra,6,v4,none,1,chatcmpl-3808a785-5176-4447-b035-1740489c15ad,1183,442,1625,0,0,,,,,0.010179,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 442, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 442}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010179, ""prompt_tokens"": 1183, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1625}"
litellm_completion,claude-sonnet-4.6,household.relative_risk_aversion.crra,7,v4,none,1,chatcmpl-3d3d9be6-ff9a-4efa-99b7-e984d5167de2,1183,462,1645,0,0,,,,,0.010479,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 462, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 462}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010479, ""prompt_tokens"": 1183, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1645}"
litellm_completion,claude-sonnet-4.6,household.relative_risk_aversion.crra,8,v4,none,1,chatcmpl-bdb81024-566e-4870-a53b-8b6feeb4c45c,1183,468,1651,0,0,,,,,0.010569,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 468, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 468}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010569, ""prompt_tokens"": 1183, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1651}"
litellm_completion,claude-sonnet-4.6,household.relative_risk_aversion.crra,9,v4,none,1,chatcmpl-cad0c9b2-8072-4315-9fc7-1df967f7b209,1183,462,1645,0,0,,,,,0.010479,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 462, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 462}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010479, ""prompt_tokens"": 1183, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1645}"
litellm_completion,claude-sonnet-4.6,household.relative_risk_aversion.crra,10,v4,none,1,chatcmpl-95054064-b799-45b9-bb0c-83372622b08c,1183,481,1664,0,0,,,,,0.010764,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 481, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 481}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010764, ""prompt_tokens"": 1183, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1664}"
