provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,claude-sonnet-4.6,labor_supply.frisch_elasticity.prime_age,1,v4,none,1,chatcmpl-1fad45af-a428-4295-afa9-1fbd1bcc4498,1226,524,1750,0,0,,,,,0.011538000000000001,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 524, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 524}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.011538000000000001, ""prompt_tokens"": 1226, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1750}"
litellm_completion,claude-sonnet-4.6,labor_supply.frisch_elasticity.prime_age,2,v4,none,1,chatcmpl-e4ce064e-8846-4db5-80cf-396f9d23fbbf,1226,527,1753,0,0,,,,,0.011583000000000001,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 527, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 527}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.011583000000000001, ""prompt_tokens"": 1226, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1753}"
litellm_completion,claude-sonnet-4.6,labor_supply.frisch_elasticity.prime_age,3,v4,none,1,chatcmpl-71e9a358-7048-4272-851d-f2a55b1f5a70,1226,506,1732,0,0,,,,,0.011268,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 506, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 506}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.011268, ""prompt_tokens"": 1226, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1732}"
litellm_completion,claude-sonnet-4.6,labor_supply.frisch_elasticity.prime_age,4,v4,none,1,chatcmpl-c580e061-1f73-434d-a5f3-4179bde99df6,1226,494,1720,0,0,,,,,0.011088,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 494, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 494}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.011088, ""prompt_tokens"": 1226, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1720}"
litellm_completion,claude-sonnet-4.6,labor_supply.frisch_elasticity.prime_age,5,v4,none,1,chatcmpl-50f8b409-b95e-42be-abe7-491e4f8842d5,1226,467,1693,0,0,,,,,0.010683,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 467, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 467}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010683, ""prompt_tokens"": 1226, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1693}"
litellm_completion,claude-sonnet-4.6,labor_supply.frisch_elasticity.prime_age,6,v4,none,1,chatcmpl-9f63a291-4e5c-4e5c-98e4-c9fecee00a15,1226,505,1731,0,0,,,,,0.011253,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 505, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 505}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.011253, ""prompt_tokens"": 1226, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1731}"
litellm_completion,claude-sonnet-4.6,labor_supply.frisch_elasticity.prime_age,7,v4,none,1,chatcmpl-678d88ad-56c8-4ec9-b560-cb3ff52fb628,1226,509,1735,0,0,,,,,0.011313,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 509, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 509}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.011313, ""prompt_tokens"": 1226, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1735}"
litellm_completion,claude-sonnet-4.6,labor_supply.frisch_elasticity.prime_age,8,v4,none,1,chatcmpl-9f45476b-35b1-4240-988e-bab6cc9747b8,1226,522,1748,0,0,,,,,0.011508000000000001,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 522, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 522}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.011508000000000001, ""prompt_tokens"": 1226, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1748}"
litellm_completion,claude-sonnet-4.6,labor_supply.frisch_elasticity.prime_age,9,v4,none,1,chatcmpl-a2c5660d-c1e9-48c1-88db-f7b03c03289e,1226,530,1756,0,0,,,,,0.011628000000000001,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 530, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 530}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.011628000000000001, ""prompt_tokens"": 1226, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1756}"
litellm_completion,claude-sonnet-4.6,labor_supply.frisch_elasticity.prime_age,10,v4,none,1,chatcmpl-cd0fcc67-cd98-4b24-85b1-e5f133652f95,1226,528,1754,0,0,,,,,0.011598,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 528, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 528}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.011598, ""prompt_tokens"": 1226, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1754}"
