provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,claude-sonnet-4.6,labor_supply.income_elasticity.prime_age,1,v4,none,1,chatcmpl-a126b42b-64a7-4b38-94ca-675ee85abe32,1337,543,1880,0,0,,,,,0.012156,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 543, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 543}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.012156, ""prompt_tokens"": 1337, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1880}"
litellm_completion,claude-sonnet-4.6,labor_supply.income_elasticity.prime_age,2,v4,none,1,chatcmpl-20a828f0-04b7-4088-8f7b-909f0e3cba84,1337,490,1827,0,0,,,,,0.011361,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 490, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 490}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.011361, ""prompt_tokens"": 1337, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1827}"
litellm_completion,claude-sonnet-4.6,labor_supply.income_elasticity.prime_age,3,v4,none,1,chatcmpl-0b640021-a335-4350-b552-0e8c750662c6,1337,445,1782,0,0,,,,,0.010686000000000001,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 445, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 445}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010686000000000001, ""prompt_tokens"": 1337, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1782}"
litellm_completion,claude-sonnet-4.6,labor_supply.income_elasticity.prime_age,4,v4,none,1,chatcmpl-2284d5a6-d04c-402f-9d80-2681f28da22c,1337,443,1780,0,0,,,,,0.010655999999999999,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 443, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 443}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010655999999999999, ""prompt_tokens"": 1337, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1780}"
litellm_completion,claude-sonnet-4.6,labor_supply.income_elasticity.prime_age,5,v4,none,1,chatcmpl-26ee71e4-ef79-4f5c-b0fc-014d664b6551,1337,460,1797,0,0,,,,,0.010911,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 460, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 460}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010911, ""prompt_tokens"": 1337, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1797}"
litellm_completion,claude-sonnet-4.6,labor_supply.income_elasticity.prime_age,6,v4,none,1,chatcmpl-a7f3ffad-8543-4654-9aba-39b1654fffcf,1337,490,1827,0,0,,,,,0.011361,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 490, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 490}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.011361, ""prompt_tokens"": 1337, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1827}"
litellm_completion,claude-sonnet-4.6,labor_supply.income_elasticity.prime_age,7,v4,none,1,chatcmpl-e06853fe-40f0-4b74-8f0f-bae3e9f1af42,1337,543,1880,0,0,,,,,0.012156,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 543, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 543}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.012156, ""prompt_tokens"": 1337, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1880}"
litellm_completion,claude-sonnet-4.6,labor_supply.income_elasticity.prime_age,8,v4,none,1,chatcmpl-d5e80e2e-de47-4737-b3da-3d488b5870cb,1337,429,1766,0,0,,,,,0.010446,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 429, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 429}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010446, ""prompt_tokens"": 1337, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1766}"
litellm_completion,claude-sonnet-4.6,labor_supply.income_elasticity.prime_age,9,v4,none,1,chatcmpl-df5dc67a-7440-40be-939d-c1002e5fee50,1337,537,1874,0,0,,,,,0.012066,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 537, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 537}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.012066, ""prompt_tokens"": 1337, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1874}"
litellm_completion,claude-sonnet-4.6,labor_supply.income_elasticity.prime_age,10,v4,none,1,chatcmpl-521af933-7416-4583-8dab-8122b6b9bb67,1337,460,1797,0,0,,,,,0.010911,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 460, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 460}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010911, ""prompt_tokens"": 1337, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1797}"
