provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,claude-haiku-4.5,labor_supply.income_elasticity.prime_age,1,income-signfix,none,1,chatcmpl-8f82f83e-2427-494e-8010-5d2a05826f8f,1278,371,1649,0,,,,,,0.003133,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 371, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.003133, ""prompt_tokens"": 1278, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1649}"
litellm_completion,claude-haiku-4.5,labor_supply.income_elasticity.prime_age,2,income-signfix,none,1,chatcmpl-f7e190c9-2560-4b91-8012-3ff34e89081e,1278,372,1650,0,,,,,,0.003138,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 372, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.003138, ""prompt_tokens"": 1278, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1650}"
litellm_completion,claude-haiku-4.5,labor_supply.income_elasticity.prime_age,3,income-signfix,none,1,chatcmpl-e8409cb1-92fc-47d6-a7b9-52d693757c46,1278,427,1705,0,,,,,,0.0034130000000000002,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 427, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.0034130000000000002, ""prompt_tokens"": 1278, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1705}"
litellm_completion,claude-haiku-4.5,labor_supply.income_elasticity.prime_age,4,income-signfix,none,1,chatcmpl-f4402eb1-4200-4697-b0f8-e00f7cc4c32c,1278,366,1644,0,,,,,,0.003108,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 366, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.003108, ""prompt_tokens"": 1278, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1644}"
litellm_completion,claude-haiku-4.5,labor_supply.income_elasticity.prime_age,5,income-signfix,none,1,chatcmpl-08406130-a002-4f9a-8fb9-fb74676b5714,1278,394,1672,0,,,,,,0.003248,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 394, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.003248, ""prompt_tokens"": 1278, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1672}"
litellm_completion,claude-haiku-4.5,labor_supply.income_elasticity.prime_age,6,income-signfix,none,1,chatcmpl-d6711574-e105-44eb-9930-2cbb408c8e1e,1278,387,1665,0,,,,,,0.0032129999999999997,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 387, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.0032129999999999997, ""prompt_tokens"": 1278, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1665}"
litellm_completion,claude-haiku-4.5,labor_supply.income_elasticity.prime_age,7,income-signfix,none,1,chatcmpl-eef6f114-b034-40b9-a45b-fa5e4062f56b,1278,384,1662,0,,,,,,0.0031980000000000003,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 384, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.0031980000000000003, ""prompt_tokens"": 1278, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1662}"
litellm_completion,claude-haiku-4.5,labor_supply.income_elasticity.prime_age,8,income-signfix,none,1,chatcmpl-e4aa3709-1750-43f6-9330-f31b0de690f2,1278,407,1685,0,,,,,,0.003313,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 407, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.003313, ""prompt_tokens"": 1278, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1685}"
litellm_completion,claude-haiku-4.5,labor_supply.income_elasticity.prime_age,9,income-signfix,none,1,chatcmpl-882eedb4-38a9-4c91-a66e-ce54f4aba6e4,1278,370,1648,0,,,,,,0.0031279999999999997,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 370, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.0031279999999999997, ""prompt_tokens"": 1278, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1648}"
litellm_completion,claude-haiku-4.5,labor_supply.income_elasticity.prime_age,10,income-signfix,none,1,chatcmpl-2ea6e0f2-b53e-4134-acdd-c9a22fd765f3,1278,366,1644,0,,,,,,0.003108,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 366, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.003108, ""prompt_tokens"": 1278, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1644}"
