provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,1,ies-clarify,none,1,msg_011CdMRGukjKDshuzSMPf2CY,1187,739,1926,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1187, ""output_tokens"": 739, ""total_tokens"": 1926}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,2,ies-clarify,none,1,msg_011CdMRGuweDHHbBUaY43cuz,1187,808,1995,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1187, ""output_tokens"": 808, ""total_tokens"": 1995}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,3,ies-clarify,none,1,msg_011CdMRGuvec3vLtis9csC84,1187,710,1897,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1187, ""output_tokens"": 710, ""total_tokens"": 1897}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,4,ies-clarify,none,1,msg_011CdMRGuNAgVv1hjnU2C8hZ,1187,739,1926,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1187, ""output_tokens"": 739, ""total_tokens"": 1926}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,5,ies-clarify,none,1,msg_011CdMRHmJkx7hZWMpG5p9dG,1187,723,1910,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1187, ""output_tokens"": 723, ""total_tokens"": 1910}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,6,ies-clarify,none,1,msg_011CdMRHhYYLeRiikeSxTyPj,1187,749,1936,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1187, ""output_tokens"": 749, ""total_tokens"": 1936}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,7,ies-clarify,none,1,msg_011CdMRHmQi4bb6GiuJeqiHK,1187,734,1921,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1187, ""output_tokens"": 734, ""total_tokens"": 1921}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,8,ies-clarify,none,1,msg_011CdMRHzN5HUuU3cWzFnJ7M,1187,655,1842,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1187, ""output_tokens"": 655, ""total_tokens"": 1842}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,9,ies-clarify,none,1,msg_011CdMRJVuq4trkirZf2rmR1,1187,727,1914,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1187, ""output_tokens"": 727, ""total_tokens"": 1914}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,10,ies-clarify,none,1,msg_011CdMRJcEb2FPwvTcR8HNz7,1187,797,1984,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1187, ""output_tokens"": 797, ""total_tokens"": 1984}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,11,ies-clarify,none,1,msg_011CdMRJjQggait4xge4hNeM,1187,700,1887,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1187, ""output_tokens"": 700, ""total_tokens"": 1887}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,12,ies-clarify,none,1,msg_011CdMRJg8VYxfdDj79jb1Tn,1187,800,1987,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1187, ""output_tokens"": 800, ""total_tokens"": 1987}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,13,ies-clarify,none,1,msg_011CdMRKGDqjyEVLvra26mR1,1187,703,1890,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1187, ""output_tokens"": 703, ""total_tokens"": 1890}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,14,ies-clarify,none,1,msg_011CdMRKTevyjtMfaPvj9cRH,1187,657,1844,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1187, ""output_tokens"": 657, ""total_tokens"": 1844}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,15,ies-clarify,none,1,msg_011CdMRKaUT9KXz7wrRSnkBV,1187,677,1864,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1187, ""output_tokens"": 677, ""total_tokens"": 1864}"
