analysis,predictor,outcome,omitted_organization,wave,n_models,n_organizations,statistic_level,permutation_unit,n_permutations,spearman_rho,permutation_p
leave_one_organization_out,Overall within-$1 (leaderboard headline),ETI pooled median,alibaba,,26,9,model,,,-0.4780304395391157,
leave_one_organization_out,Overall within-$1 (leaderboard headline),ETI pooled median,anthropic,,21,9,model,,,-0.43376623376623374,
leave_one_organization_out,Overall within-$1 (leaderboard headline),ETI pooled median,deepseek,,27,9,model,,,-0.41001374313753347,
leave_one_organization_out,Overall within-$1 (leaderboard headline),ETI pooled median,google,,23,9,model,,,-0.4792490118577075,
leave_one_organization_out,Overall within-$1 (leaderboard headline),ETI pooled median,minimax,,27,9,model,,,-0.4210044317100958,
leave_one_organization_out,Overall within-$1 (leaderboard headline),ETI pooled median,moonshot,,26,9,model,,,-0.3337322668027017,
leave_one_organization_out,Overall within-$1 (leaderboard headline),ETI pooled median,openai,,22,9,model,,,-0.3919796823916204,
leave_one_organization_out,Overall within-$1 (leaderboard headline),ETI pooled median,thinkingmachines,,27,9,model,,,-0.46802015504827904,
leave_one_organization_out,Overall within-$1 (leaderboard headline),ETI pooled median,xai,,26,9,model,,,-0.44144298815808186,
leave_one_organization_out,Overall within-$1 (leaderboard headline),ETI pooled median,zhipu,,27,9,model,,,-0.40573958647042585,
within_wave,Overall within-$1 (leaderboard headline),ETI pooled median,,april_only,8,3,model,,,-0.6946232319096902,
within_wave,Overall within-$1 (leaderboard headline),ETI pooled median,,july_only,18,9,model,,,-0.5108359133126935,
organization_cluster_permutation,Overall within-$1 (leaderboard headline),ETI pooled median,,,28,10,model,organization_score_block_within_equal_size_strata,144,-0.42726153404084494,0.4513888888888889
