model_name,quantity_id,unique_citations,top1_share,top3_share,top_anchors
gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,9,0.2542372881355932,0.6271186440677966,Hall (1988) (15) | Guvenen (2006) (12) | Vissing-Jorgensen and Attanasio (2003) (10) | Attanasio and Weber (1993) (7) | Bansal and Yaron (2004) (7) | Campbell and Mankiw (1989) (5)
gpt-5.4-mini,labor_supply.extensive_margin.single_mothers,20,0.2727272727272727,0.5454545454545454,"Eissa and Liebman (1996) (15) | Meyer and Rosenbaum (2001) (11) | Keane and Wolpin (2010) (4) | Blundell and MaCurdy (1999) (3) | Blundell, Brewer, and Shephard (2005) (3) | Eissa, Kleven, and Kreiner (2008) (2)"
gpt-5.4-mini,labor_supply.frisch_elasticity.prime_age,25,0.21666666666666667,0.4166666666666667,Chetty et al. (2011) (13) | Keane and Rogerson (2012) (6) | Peterman (2016) (6) | OG-USA / OG-Core documentation (4) | Chang and Kim (2006) (4) | Trabandt and Uhlig (2011) (4)
gpt-5.4-mini,labor_supply.income_elasticity.prime_age,25,0.2,0.509090909090909,"Chetty et al. (2011) (11) | Blundell and MaCurdy (1999) (11) | Keane (2011) (6) | Imbens, Rubin, and Sacerdote (2001) (3) | Juhn, Murphy, and Topel (1991) (3) | Blundell, MaCurdy, and Meghir (2007) (2)"
gpt-5.4-mini,labor_supply.marshallian_wage_elasticity.prime_age,13,0.26,0.68,"Blundell and MaCurdy (1999) (13) | Chetty et al. (2011) (11) | Keane (2011) (10) | Heckman (1993) (4) | Chetty, Guren, Manoli, and Weber (2011) (3) | Rogerson and Wallenius (2009) (2)"
gpt-5.4-mini,production.capital_labor_substitution,11,0.23636363636363636,0.6909090909090909,"Antràs (2004) (13) | Chirinko (2008) (13) | Karabarbounis and Neiman (2014) (12) | Klump, McAdam, and Willman (2007) (7) | Herrendorf, Rogerson, and Valentinyi (2013) (2) | Acemoglu and Guerrieri (2008) (2)"
gpt-5.4-mini,tax.elasticity_of_taxable_income.top_earners,11,0.25862068965517243,0.6206896551724138,"Saez, Slemrod, and Giertz (2012) (15) | Gruber and Saez (2002) (14) | Chetty (2009) (7) | Feldstein (1995) (6) | Kopczuk (2005) (6) | Chetty, Friedman, Olsen, and Pistaferri (2011) (3)"
gpt-5.4-mini,trade.armington_elasticity.import_domestic,20,0.14035087719298245,0.3684210526315789,"Simonovska and Waugh (2014) (8) | Anderson and van Wincoop (2004) (7) | Feenstra, Luck, Obstfeld, and Russ (2018) (6) | Armington (1969) (5) | Broda and Weinstein (2006) (5) | Head and Mayer (2014) (5)"
gpt-5.4-nano,household.intertemporal_elasticity_of_substitution,32,0.21666666666666667,0.35,Hall (1988) (13) | Campbell and Cochrane (1999) (4) | Hansen and Singleton (1983) (4) | Campbell & Cochrane (1999) (3) | Weil (1989) (3) | Bansal & Yaron (2004) (2)
gpt-5.4-nano,labor_supply.extensive_margin.single_mothers,32,0.15,0.3333333333333333,Chetty et al. (2011) (9) | Eissa and Liebman (1996) (6) | Moffitt (2002) (5) | Eissa and Hoynes (2004) (3) | Eissa & Liebman (1996) (3) | Meyer and Rosenbaum (2001) (3)
gpt-5.4-nano,labor_supply.frisch_elasticity.prime_age,38,0.25862068965517243,0.39655172413793105,"Chetty et al. (2011) (15) | Trabandt and Uhlig (2011) (7) | Attanasio, P. & Weber (2010) (1) | Bick, Fuchs-Schündeln, and Lagakos (2017) (1) | OG-Core / OG-Style parameterizations (Trabandt & Uhlig; Auclert et al.) (1) | Chetty (2012) (1)"
gpt-5.4-nano,labor_supply.income_elasticity.prime_age,37,0.25862068965517243,0.3793103448275862,Chetty et al. (2011) (15) | Blundell and MaCurdy (1999) (5) | Cullen and Gruber (2000) (2) | Kleven and Schultz (2014) (2) | Eckstein and Wolpin (1989) (2) | Gelber et al. (2018) (1)
gpt-5.4-nano,labor_supply.marshallian_wage_elasticity.prime_age,23,0.2641509433962264,0.5660377358490566,"Chetty et al. (2011) (14) | Blundell and MaCurdy (1999) (11) | Saez, Slemrod, and Giertz (2012) (5) | Eissa and Liebman (1996) (3) | Moffitt (2002) (2) | Erosa, Fuster, and Plante (2011) (1)"
gpt-5.4-nano,production.capital_labor_substitution,42,0.13333333333333333,0.3,"Klump, McAdam, and Willman (2007) (8) | Karabarbounis and Neiman (2014) (6) | Antràs (2004) (4) | Hamermesh (1993) (3) | Bils, Klenow, and Ruane (2023) (2) | Antras (2004) (1)"
gpt-5.4-nano,tax.elasticity_of_taxable_income.top_earners,28,0.22413793103448276,0.41379310344827586,"Saez, Slemrod, and Giertz (2012) (13) | Chetty, Friedman, and Saez (2013) (8) | Chetty, Friedman, Olsen, and Pistaferri (2011) (3) | Piketty, Saez, and Stantcheva (2014) (3) | Gruber and Saez (2002) (3) | Kleven and Schultz (2014) (3)"
gpt-5.4-nano,trade.armington_elasticity.import_domestic,30,0.2542372881355932,0.4915254237288136,"Armington (1969) (15) | Broda and Weinstein (2006) (7) | Hertel (1997) (7) | Caliendo and Parro (2015) (3) | Harrison, Rutherford, and Tarr (1997) (2) | Broda, Weinstein & al. (2006) (1)"
