model_name,quantity_id,unique_citations,top1_share,top3_share,mean_citations_per_run,top_anchors
gpt-5.4,household.intertemporal_elasticity_of_substitution,19,0.3111111111111111,0.5555555555555556,3.0,"Hall (1988) on intertemporal substitution in consumption (14) | Campbell and Mankiw (1989) on consumption, income, and interest rates (6) | Bansal and Yaron (2004) long-run risks calibration (5) | Campbell and Mankiw (1989/1990) on consumption, income, and interest rates (3) | Bansal and Yaron (2004) long-run risks / Epstein-Zin preference calibration (2) | Bansal and Yaron (2004) long-run risks / Epstein-Zin preference calibrations (2)"
gpt-5.4,labor_supply.extensive_margin.single_mothers,22,0.26666666666666666,0.5555555555555556,3.0,"Eissa and Liebman (1996) on the EITC and labor supply of single mothers (12) | Meyer and Rosenbaum (2001) on welfare, the EITC, and single mothers' employment (10) | Meyer and Rosenbaum (2001) on welfare, the EITC, and single mothers' labor supply (3) | Keane's reviews on labor-supply elasticities (2) | Eissa and Liebman (1996) on EITC and labor-force participation of single mothers (1) | Meyer and Rosenbaum (2001) on welfare/tax changes and single mothers' employment (1)"
gpt-5.4,labor_supply.frisch_elasticity.prime_age,29,0.13333333333333333,0.3111111111111111,3.0,Chetty et al. on micro vs macro labor supply elasticities (6) | MaCurdy on intertemporal substitution in labor supply (5) | Prescott-style macro calibration discussions of labor supply (3) | Rogerson and Wallenius on extensive margin and aggregate labor supply (3) | Chetty et al. on bounds/estimates of labor supply elasticities (2) | Rogerson and Wallenius on extensive margin and aggregate Frisch elasticity (2)
gpt-5.4,labor_supply.income_elasticity.prime_age,34,0.08888888888888889,0.2222222222222222,3.0,"MaCurdy (1981) life-cycle labor supply (4) | MaCurdy (1981) on intertemporal labor supply (3) | Blundell and MaCurdy chapter on labor supply (3) | Blundell and MaCurdy chapter in Handbook of Labor Economics (2) | Killingsworth, Labor Supply (book) (2) | Killingsworth, Labor Supply (2)"
gpt-5.4,labor_supply.marshallian_wage_elasticity.prime_age,34,0.1111111111111111,0.24444444444444444,3.0,Blundell and MaCurdy chapter in Handbook of Labor Economics (5) | MaCurdy (1981) on intertemporal substitution in labor supply (3) | MaCurdy (1981) on intertemporal substitution/labor supply (3) | Chetty et al. (2011) on bounds/frictions and labor supply elasticities (2) | MaCurdy (1981) on intertemporal labor supply (2) | Chetty et al. on bounds/frictions and labor supply elasticities (2)
gpt-5.4,production.capital_labor_substitution,27,0.24444444444444444,0.4444444444444444,3.0,"Arrow, Chenery, Minhas, and Solow (1961) on CES production (11) | Chirinko (2008) survey/review on the elasticity of substitution between capital and labor (5) | Chirinko (2008) survey/review on capital-labor substitution (4) | Antràs (2004) estimates of substitution in U.S. manufacturing (2) | Antràs (2004) on whether aggregate U.S. data support an elasticity above or below one (1) | Klump, McAdam, and Willman on normalized CES production functions and estimated substitution elasticities (1)"
gpt-5.4,tax.elasticity_of_taxable_income.top_earners,21,0.2,0.4222222222222222,3.0,"Feldstein (1995) on taxable income responses to the 1986 Tax Reform Act (9) | Gruber and Saez (2002) estimates of taxable income elasticity (5) | Saez, Slemrod, and Giertz (2012) review of the elasticity of taxable income (5) | Gruber and Saez (2002) estimates of elasticity of taxable income (4) | Saez, Slemrod, and Giertz (2012) review of taxable income elasticities (4) | Feldstein (1995) on taxable income responses to the 1986 tax reform (2)"
gpt-5.4,trade.armington_elasticity.import_domestic,28,0.24444444444444444,0.37777777777777777,3.0,"Armington (1969) (11) | Backus, Kehoe, and Kydland international RBC calibration traditions (4) | Backus, Kehoe, and Kydland / international RBC calibrations (2) | Backus, Kehoe, and Kydland international business cycle calibrations (2) | Backus, Kehoe, and Kydland / Backus, Kehoe, and Kydland-style international RBC calibrations (2) | Feenstra-style estimates of import demand elasticities (2)"
gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,44,0.044444444444444446,0.08888888888888889,3.0,Hall (1988) consumption Euler equation (2) | Macro/DSGE calibration conventions where IES is often set around 0.5–1.0 (1) | Hall-style Euler equation intuition for consumption smoothing (1) | Standard RBC/New Keynesian calibration practice (1) | Hall (1988) Euler equation intuition (1) | Campbell and Mankiw (1989) consumption growth sensitivity (1)
gpt-5.4-mini,labor_supply.extensive_margin.single_mothers,30,0.17777777777777778,0.37777777777777777,3.0,Eissa and Liebman (1996) (8) | Meyer and Rosenbaum (2001) (7) | Blundell and MaCurdy (1999) (2) | Hoynes and Patel (2018) (2) | Meyer and Rosenbaum (2001) AFDC/TANF work incentives and single mothers (1) | Eissa and Liebman (1996) earned income tax credit labor supply (1)
gpt-5.4-mini,labor_supply.frisch_elasticity.prime_age,34,0.1111111111111111,0.28888888888888886,3.0,MaCurdy (1981) (5) | MaCurdy (1981) on intertemporal labor supply (4) | Chetty et al. (2011) (4) | Chetty et al. (2011) on taxable income and labor supply elasticities (2) | Rogerson and Wallenius (2009) on macro labor supply calibration (1) | Peterman (2016) (1)
