model_name,old_pooled_point_estimate,new_pooled_point_estimate,point_estimate_change,old_pooled_90_interval,new_pooled_90_interval,new_reml_predictive_90_interval,new_bayes_predictive_90_interval,new_cost_per_run_usd
claude-haiku-4.5,-0.11066666666666666,-0.09733333333333333,0.013333333333333336,"[-0.3475, 0.09024]","[-0.34, 0.04973]","[-0.2476, 0.04852]","[-0.1816, -0.01183]",0.0031880000000000003
claude-opus-4.6,-0.06333333333333334,-0.1,-0.03666666666666667,"[-0.2464, -1.797e-05]","[-0.3, 1.11e-15]","[-0.2467, 0.03889]","[-0.1814, -0.02106]",0.017838333333333335
claude-sonnet-4.6,-0.1,-0.1,0.0,"[-0.3992, 0.04978]","[-0.3498, 0.04631]","[-0.2832, 0.07121]","[-0.2014, -0.002431]",0.011163000000000001
gemini-3-flash-preview,-0.05,-0.060000000000000005,-0.010000000000000002,"[-0.15, 1.11e-15]","[-0.27, -3.586e-06]","[-0.1439, 0.03215]","[-0.1056, -0.004059]",0.0011063000000000002
gemini-3.1-flash-lite-preview,-0.050666666666666665,-0.06666666666666667,-0.016,"[-0.15, 0.009535]","[-0.3515, 0.03794]","[-0.164, 0.04861]","[-0.1178, 0.005418]",0.00072475
gemini-3.1-pro-preview,-0.05533333333333334,-0.07,-0.014666666666666668,"[-0.2714, 0.01983]","[-0.2482, 0.0183]","[-0.1642, 0.03645]","[-0.1227, -0.002655]",0.0083316
gpt-5.4,-0.06666666666666667,-0.07200000000000001,-0.005333333333333343,"[-0.2958, 0.07822]","[-0.2917, 0.06598]","[-0.1857, 0.0456]","[-0.135, -0.001646]",0.0034433333333333334
gpt-5.4-mini,-0.064,-0.06933333333333333,-0.005333333333333329,"[-0.3471, 0.09607]","[-0.2477, 0.08184]","[-0.1837, 0.04968]","[-0.1323, 0.001723]",0.001003
gpt-5.4-nano,-0.05466666666666666,-0.04933333333333333,0.005333333333333329,"[-0.5576, 0.2644]","[-0.344, 0.2575]","[-0.2445, 0.1422]","[-0.1789, 0.08445]",0.00033368666666666667
grok-4.1-fast,0.09000000000000001,-0.09666666666666668,-0.1866666666666667,"[-0.08511, 0.3974]","[-0.4985, 0.2859]","[-0.4509, 0.223]","[-0.2897, 0.09156]",0.00031324
grok-4.20,-0.09090909090909091,-0.1,-0.009090909090909094,"[-0.3938, 0.09755]","[-0.3995, 0.1497]","[-0.3377, 0.1179]","[-0.2336, 0.02707]",0.010968184615384615
