model_name,quantity_id,quantity_name,tool_regime,n_successful_runs,n_quantile_repaired_runs,pooled_point_estimate,pooled_lower_bound,pooled_upper_bound,within_run_sd,between_run_sd,total_sd,n_requests,mean_batch_size,usage_prompt_tokens_total,usage_completion_tokens_total,usage_total_tokens_total,usage_cached_prompt_tokens_total,usage_reasoning_tokens_total,usage_estimated_input_cost_usd_total,usage_estimated_cached_input_cost_usd_total,usage_estimated_output_cost_usd_total,usage_estimated_tool_cost_usd_total,usage_estimated_total_cost_usd_total,usage_total_tokens_per_successful_run,usage_estimated_total_cost_usd_per_successful_run,tool_call_count_total,web_search_call_count_total,code_interpreter_call_count_total,pool_transform,reml_latent_location,reml_latent_lower,reml_latent_upper,reml_predictive_lower,reml_predictive_upper,reml_tau,reml_typical_within_sd,bayes_latent_location,bayes_latent_lower,bayes_latent_upper,bayes_predictive_lower,bayes_predictive_upper,bayes_tau_mean,bayes_interval_scale_mean,bayes_typical_within_sd
qwen3.8-max,household.annual_discount_factor,Annual discount factor,none,15,0,0.968,0.9002441159461623,0.9955172413793103,0.12759484897953802,0.007483314773547889,0.12781410519231087,15,1.0,5970,24800,30770,0,20743,,,,,,2051.3333333333335,,,,,bounded_logit,0.969094561826264,0.9568806367313248,0.9779285905135601,0.4450587920926139,0.9991850071169536,0.0,0.06675386746586758,0.9690872571856316,0.9625022143266948,0.9745431761892726,0.7947157231575231,0.9960760588965889,0.0014639486234673824,0.3236380422489925,0.03798442675711185
qwen3.8-max,household.intertemporal_elasticity_of_substitution,Intertemporal elasticity of substitution,none,15,0,0.41333333333333333,0.032450331125827805,1.8524162700475992,0.7241886024679237,0.1829996964174774,0.7469524890067194,15,1.0,6525,83335,89860,0,78641,,,,,,5990.666666666667,,,,,bounded_logit,0.39970233587821985,0.2673549420585486,0.5894057037662912,0.008650344192834758,4.066464436326739,0.0,0.8752347398736123,0.3986960686261987,0.30188612814206084,0.5222639025675598,0.030481231764629153,2.7513461473079452,0.034843974643762474,0.4522354483633045,0.5872284689194469
qwen3.8-max,household.relative_risk_aversion.crra,Coefficient of relative risk aversion,none,15,0,2.0,0.663157894736842,7.2590361445783085,6.365117386213531,0.0,6.365117386213531,15,1.0,6075,25644,31719,0,21883,,,,,,2114.6,,,,,bounded_logit,2.0000000000000013,1.5731287112012766,2.5366361933861437,0.7508647321430084,5.111512129477723,0.0,1.173542756796184,2.000000000000001,1.7564731866170664,2.2756979933132673,1.1613081204150755,3.4021974417289993,0.04075737782721026,0.2903318151693196,0.6323335601586618
qwen3.8-max,labor_supply.extensive_margin.single_mothers,Employment participation elasticity of single mothers,none,15,0,0.4233333333333333,0.05141004243088494,1.2747496099595002,0.7136272106872981,0.060184900284225976,0.7161606091202976,15,1.0,6315,51818,58133,0,47528,,,,,,3875.5333333333333,,,,,bounded_logit,0.41180575432112176,0.2906635597703291,0.5405987057751382,-0.028206043142086856,0.9728771823769022,0.0,0.30524259811470433,0.41196196865772583,0.3443438425602361,0.4819572710394753,0.14737248210199239,0.7160512305465287,0.011502326260568907,0.2991252452026232,0.16695711824547302
qwen3.8-max,labor_supply.frisch_elasticity.prime_age,Frisch elasticity of labor supply,none,15,0,0.4966666666666667,0.06896551724137928,1.9894690559299364,1.3440950332224777,0.06944222218666551,1.3458876924006533,15,1.0,6555,59534,66089,0,54887,,,,,,4405.933333333333,,,,,bounded_logit,0.49356662959430114,0.33269466124900804,0.7263821452568469,0.010825691725279626,7.13246205538245,0.0,1.1037355968881952,0.4935175604643789,0.3975655351387087,0.6111290867855539,0.062051401127205245,3.014906108567957,0.021211190483457723,0.2965420569325247,0.6009900200818333
qwen3.8-max,labor_supply.income_elasticity.prime_age,Income elasticity of labor supply,none,15,0,-0.056666666666666664,-0.31025834198428015,0.049228753133376824,0.30281663868860753,0.011352924243950934,0.30302938068041446,15,1.0,8115,68952,77067,0,64364,,,,,,5137.8,,,,,bounded_logit,-0.05554695590107528,-0.08486274940267657,-0.02659870262772701,-0.18233962844537865,0.0646455858982371,0.0,0.07522897068694909,-0.05557139765612096,-0.0715980465945254,-0.0396641248593137,-0.12604436539258157,0.012806895957817144,0.0031115865692698083,0.29487382642003357,0.04085148323172474
qwen3.8-max,labor_supply.marshallian_wage_elasticity.prime_age,Uncompensated wage elasticity of labor supply,none,15,0,0.13333333333333333,-0.13894341801385696,0.7648918067903323,0.6219500594009851,0.03496029493900505,0.6229318571169009,15,1.0,6510,35786,42296,0,31309,,,,,,2819.733333333333,,,,,bounded_logit,0.12692295478017757,0.04794171045312812,0.20724899067594205,-0.18701843726751122,0.46324532179689903,0.0,0.19836026708438492,0.12702647555195457,0.08351467406948965,0.17098140667182804,-0.05321491028178604,0.31446236821555207,0.008059914433956233,0.29649225889289327,0.10801172275558085
qwen3.8-max,labor_supply.policy_response.substitution_elasticity.all,Substitution elasticity of labor supply in a tax-benefit simulation,none,15,0,0.24333333333333332,0.003571428571428563,0.985605365634477,0.6741020519097156,0.016996731711975945,0.6743162946850519,15,1.0,6990,97774,104764,0,93169,,,,,,6984.266666666666,,,,,bounded_logit,0.24902241220072202,0.10287804428155445,0.578259032507555,2.7778649548297308e-05,4.989909207565123,0.0,1.316574689755609,0.24888434096259687,0.14888538072477545,0.40995344534670586,0.0018171009822840207,4.414773135331501,0.032274821870068804,0.2904756203678085,0.7092055151145853
qwen3.8-max,labor_supply.policy_response.substitution_elasticity.primary.decile_1,"Primary-earner substitution elasticity in a tax-benefit simulation, decile 1",none,15,0,0.10133333333333333,6.803387096744886e-37,0.5902609953166642,0.6478762913464953,0.040144184579532255,0.6491188215145548,15,1.0,6960,76727,83687,0,72417,,,,,,5579.133333333333,,,,,bounded_logit,0.1424893260995622,0.06749515809402785,0.2958125902682663,2.581469688488342e-05,4.970178183828647,0.0,0.7275503957042205,0.14158694968783436,0.09120610830399828,0.21619103749839677,0.0013014416543208965,3.8214351862903277,0.015586928069359799,0.29447809837455224,0.3923838692225889
qwen3.8-max,labor_supply.policy_response.substitution_elasticity.primary.decile_10,"Primary-earner substitution elasticity in a tax-benefit simulation, decile 10",none,15,0,0.13466666666666666,0.006315789473684207,0.7979715298366894,0.6485788406200128,0.0590893861497609,0.6512649753023385,15,1.0,7020,60996,68016,0,56822,,,,,,4534.4,,,,,bounded_logit,0.1597001330045805,0.09104502819266412,0.27720311222285143,0.00010798132651792914,4.902734156279525,0.0,0.6890887617932959,0.1595112430132263,0.11386075716079494,0.22217131891264727,0.0026130633843278878,3.373780689483177,0.018136479111390536,0.3172808360266819,0.38770379943130306
